run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
few_s0_L2_H2_E48_B128_T20000,0,L2_H2_E48,2,2,48,128,2475120,1,20000,32768,10.830570650100707,50542.54066712977,0.0867385221645236,486628392960.0,0.013238954070913734,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T26000,0,L2_H2_E48,2,2,48,128,2475120,2,26000,32768,10.830316591262818,50529.7015190025,0.09023482352495193,486628392960.0,0.013238954070913734,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T33000,0,L2_H2_E48,2,2,48,128,2475120,3,33000,49152,10.830692100524903,50548.67945290525,0.09053569659590721,729942589440.0,0.0198584311063706,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T43000,0,L2_H2_E48,2,2,48,128,2475120,4,43000,49152,10.830123662948608,50519.953849201906,0.08774067647755146,729942589440.0,0.0198584311063706,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T55000,0,L2_H2_E48,2,2,48,128,2475120,5,55000,65536,10.830282831192017,50527.99566149675,0.09375012945383787,973256785920.0,0.026477908141827468,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T72000,0,L2_H2_E48,2,2,48,128,2475120,6,72000,81920,10.829573965072631,50492.190769228684,0.08687766548246145,1216570982400.0,0.03309738517728433,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T92000,0,L2_H2_E48,2,2,48,128,2475120,7,92000,98304,10.829176139831542,50472.10769630432,0.08288888446986675,1459885178880.0,0.0397168622127412,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T119000,0,L2_H2_E48,2,2,48,128,2475120,8,119000,131072,10.828667068481446,50446.42033120271,0.08481917530298233,1946513571840.0,0.052955816283654936,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T154000,0,L2_H2_E48,2,2,48,128,2475120,9,154000,163840,10.827997827529908,50412.67081539726,0.09098410047590733,2433141964800.0,0.06619477035456867,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T198000,0,L2_H2_E48,2,2,48,128,2475120,10,198000,212992,10.826562213897706,50340.349623004906,0.08452092204242945,3163084554240.0,0.08605320146093927,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T256000,0,L2_H2_E48,2,2,48,128,2475120,11,256000,262144,10.823447704315186,50183.80802341262,0.08603781089186668,3893027143680.0,0.10591163256730987,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T330000,0,L2_H2_E48,2,2,48,128,2475120,12,330000,344064,10.818183040618896,49920.30139668315,0.0886571817100048,5109598126080.0,0.1390090177445942,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T426000,0,L2_H2_E48,2,2,48,128,2475120,13,426000,442368,10.808263397216797,49427.557769302264,0.0839908653870225,6569483304960.0,0.1787258799573354,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T550000,0,L2_H2_E48,2,2,48,128,2475120,14,550000,557056,10.788814163208007,48475.51786590079,0.08036798518151045,8272682680320.0,0.22506221920553346,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T710000,0,L2_H2_E48,2,2,48,128,2475120,15,710000,720896,10.740360975265503,46182.719729131866,0.06516253389418125,10705824645120.0,0.29125698956010215,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T916000,0,L2_H2_E48,2,2,48,128,2475120,16,916000,917504,10.672982215881348,43173.50240898349,0.036496453918516636,13625595002880.0,0.37069071398558456,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T1182000,0,L2_H2_E48,2,2,48,128,2475120,17,1182000,1196032,10.57724027633667,39231.696229400215,0.020907432539388537,17761936343040.0,0.48322182358835125,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T1525000,0,L2_H2_E48,2,2,48,128,2475120,18,1525000,1540096,10.437192106246949,34104.75533700058,0.015713939792476594,22871534469120.0,0.6222308413329455,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T1968000,0,L2_H2_E48,2,2,48,128,2475120,19,1968000,1982464,10.212645769119263,27245.557768130057,0.013160733156837523,29441017774080.0,0.8009567212902808,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T2539000,0,L2_H2_E48,2,2,48,128,2475120,20,2539000,2539520,9.863438606262207,19214.848264802702,0.00961065327282995,37713700454400.0,1.0260189404958144,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T3276000,0,L2_H2_E48,2,2,48,128,2475120,21,3276000,3276800,9.32776861190796,11246.00925608948,0.007607876847032458,48662839296000.0,1.3238954070913733,wikitext,wikitext-103-raw-v1,gpt2
