run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
s0_L2_H2_E48_B128_T20000,0,L2_H2_E48,2,2,48,128,2475120,1,20000,32768,10.808468675613403,49437.70522059995,0.0844660708680749,486628392960.0,0.013238954070913734,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T28000,0,L2_H2_E48,2,2,48,128,2475120,2,28000,32768,10.808495712280273,49439.04186943599,0.09125799033790827,486628392960.0,0.013238954070913734,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T39000,0,L2_H2_E48,2,2,48,128,2475120,3,39000,49152,10.790993785858154,48581.29143397591,0.07903775107115507,729942589440.0,0.0198584311063706,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T55000,0,L2_H2_E48,2,2,48,128,2475120,4,55000,65536,10.769014596939087,47525.16299118577,0.08066760376095772,973256785920.0,0.026477908141827468,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T77000,0,L2_H2_E48,2,2,48,128,2475120,5,77000,81920,10.744669675827026,46382.13654472143,0.06933370791375637,1216570982400.0,0.03309738517728433,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T108000,0,L2_H2_E48,2,2,48,128,2475120,6,108000,114688,10.692467832565308,44023.01448209423,0.0513656553812325,1703199375360.0,0.04633633924819807,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T151000,0,L2_H2_E48,2,2,48,128,2475120,7,151000,163840,10.630618047714233,41382.693777316905,0.03067969623953104,2433141964800.0,0.06619477035456867,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T211000,0,L2_H2_E48,2,2,48,128,2475120,8,211000,212992,10.576992177963257,39221.96411669003,0.01988984947092831,3163084554240.0,0.08605320146093927,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T296000,0,L2_H2_E48,2,2,48,128,2475120,9,296000,311296,10.469768142700195,35234.04715063224,0.012821958283893764,4622969733120.0,0.12577006367368046,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T414000,0,L2_H2_E48,2,2,48,128,2475120,10,414000,425984,10.339945554733276,30944.345228050788,0.010521937161684036,6326169108480.0,0.17210640292187854,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T580000,0,L2_H2_E48,2,2,48,128,2475120,11,580000,589824,10.15391983985901,25691.612091786654,0.00919297116342932,8759311073280.0,0.2383011732764472,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T812000,0,L2_H2_E48,2,2,48,128,2475120,12,812000,819200,9.89677095413208,19866.118150541108,0.008445157611276954,12165709824000.0,0.33097385177284333,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T1137000,0,L2_H2_E48,2,2,48,128,2475120,13,1137000,1146880,9.551566076278686,14066.706966636933,0.007297189848031849,17031993753600.0,0.46336339248198066,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T1592000,0,L2_H2_E48,2,2,48,128,2475120,14,1592000,1605632,9.119453859329223,9131.213327423276,0.007383492193184793,23844791255040.0,0.648708749474773,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T2229000,0,L2_H2_E48,2,2,48,128,2475120,15,2229000,2244608,8.610375928878785,5488.311504828515,0.006182818615343422,33334044917760.0,0.9068683538575908,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T3121000,0,L2_H2_E48,2,2,48,128,2475120,16,3121000,3129344,8.06548752784729,3182.707497539635,0.006116334174294025,46473011527680.0,1.2643201137722615,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T4370000,0,L2_H2_E48,2,2,48,128,2475120,17,4370000,4374528,7.611001586914062,2020.3005913309169,0.011687966762110591,64964890460160.0,1.7674003684669835,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T6120000,0,L2_H2_E48,2,2,48,128,2475120,18,6120000,6127616,7.444011974334717,1709.595333362159,0.06122769694775343,90999509483520.0,2.4756844112608682,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T8570000,0,L2_H2_E48,2,2,48,128,2475120,19,8570000,8585216,7.367153763771057,1583.12142691484,0.09410020895302296,127496638955520.0,3.468605966579398,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E48_B128_T12000000,0,L2_H2_E48,2,2,48,128,2475120,20,12000000,12009472,7.212860536575318,1356.767805604286,0.10011103935539722,178349306019840.0,4.852076666989883,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T20000,0,L2_H2_E64,2,2,64,128,3324736,1,20000,32768,10.789701509475709,48518.55152580907,0.08900225907564163,653669695488.0,0.009855820131282604,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T28000,0,L2_H2_E64,2,2,64,128,3324736,2,28000,32768,10.789272356033326,48497.734089659025,0.08368035033345222,653669695488.0,0.009855820131282604,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T39000,0,L2_H2_E64,2,2,64,128,3324736,3,39000,49152,10.75912160873413,47057.315136658886,0.0767725994810462,980504543232.0,0.014783730196923906,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T55000,0,L2_H2_E64,2,2,64,128,3324736,4,55000,65536,10.725223398208618,45488.889950395365,0.06809770781546831,1307339390976.0,0.019711640262565208,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T77000,0,L2_H2_E64,2,2,64,128,3324736,5,77000,81920,10.691642093658448,43986.67797053942,0.058310558553785086,1634174238720.0,0.02463955032820651,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T108000,0,L2_H2_E64,2,2,64,128,3324736,6,108000,114688,10.636278009414672,41617.58234224069,0.036924454383552074,2287843934208.0,0.03449537045948912,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T151000,0,L2_H2_E64,2,2,64,128,3324736,7,151000,163840,10.564407682418823,38731.46827864625,0.021632586838677526,3268348477440.0,0.04927910065641302,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T211000,0,L2_H2_E64,2,2,64,128,3324736,8,211000,212992,10.495099830627442,36137.98584675983,0.016752352006733418,4248853020672.0,0.06406283085333693,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T296000,0,L2_H2_E64,2,2,64,128,3324736,9,296000,311296,10.356543445587159,31462.242201848796,0.013324663508683443,6209862107136.0,0.09363029124718474,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T414000,0,L2_H2_E64,2,2,64,128,3324736,10,414000,425984,10.19095025062561,26660.817325293254,0.010122358798980713,8497706041344.0,0.12812566170667386,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T580000,0,L2_H2_E64,2,2,64,128,3324736,11,580000,589824,9.95614309310913,21081.32998872112,0.009069284715224057,11766054518784.0,0.1774047623630869,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T812000,0,L2_H2_E64,2,2,64,128,3324736,12,812000,819200,9.639072799682618,15353.101729679182,0.009238719881977886,16341742387200.0,0.2463955032820651,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T1137000,0,L2_H2_E64,2,2,64,128,3324736,13,1137000,1146880,9.228625535964966,10184.533612070509,0.008212488028220832,22878439342080.0,0.34495370459489116,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T1592000,0,L2_H2_E64,2,2,64,128,3324736,14,1592000,1605632,8.731414031982421,6194.48111564103,0.007565655221696943,32029815078912.0,0.4829351864328476,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T2229000,0,L2_H2_E64,2,2,64,128,3324736,15,2229000,2244608,8.201932144165038,3647.991948766423,0.009308663487900048,44776374140928.0,0.6751236789928584,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T3121000,0,L2_H2_E64,2,2,64,128,3324736,16,3121000,3129344,7.708122897148132,2226.3592281686447,0.009409964724909514,62425455919104.0,0.9412308225374887,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T4370000,0,L2_H2_E64,2,2,64,128,3324736,17,4370000,4374528,7.455962824821472,1730.1490239984623,0.015212728991173208,87264904347648.0,1.3157519875262276,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T6120000,0,L2_H2_E64,2,2,64,128,3324736,18,6120000,6127616,7.369156765937805,1586.2956004401633,0.07213773671537638,122236233056256.0,1.843038364549847,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T8570000,0,L2_H2_E64,2,2,64,128,3324736,19,8570000,8585216,7.275237512588501,1444.094141956665,0.102100376971066,171261460217856.0,2.5822248743960423,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E64_B128_T12000000,0,L2_H2_E64,2,2,64,128,3324736,20,12000000,12009472,7.109088826179504,1223.0326429077475,0.15498865768313408,239569943396352.0,3.6121580781150744,wikitext,wikitext-103-raw-v1,gpt2
