run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
tail_s0_L2_H2_E48_B128_T12000000,0,L2_H2_E48,2,2,48,128,2475120,1,12000000,12009472,7.231115865707397,1381.7635066640075,0.09768502693623304,178349306019840.0,4.852076666989883,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T16000000,0,L2_H2_E48,2,2,48,128,2475120,2,16000000,16007168,7.081407856941223,1189.6421860996556,0.26213761419057846,237717969960960.0,6.4672290636413585,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T20000000,0,L2_H2_E48,2,2,48,128,2475120,3,20000000,20004864,6.951464653015137,1044.67870000819,0.40653329715132713,297086633902080.0,8.082381460292835,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T25000000,0,L2_H2_E48,2,2,48,128,2475120,4,25000000,25001984,6.850786185264587,944.6232637087737,0.2757515925914049,371297463828480.0,10.101321956107178,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T30000000,0,L2_H2_E48,2,2,48,128,2475120,5,30000000,30015488,6.762790775299072,865.0529987611787,0.4324381612241268,445751607951360.0,12.12688192895698,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T36000000,0,L2_H2_E48,2,2,48,128,2475120,6,36000000,36012032,6.685716319084167,800.8841613616186,0.4583529308438301,534804603863040.0,14.549610523934193,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T42000000,0,L2_H2_E48,2,2,48,128,2475120,7,42000000,42008576,6.622675585746765,751.9543262583722,0.5473358705639839,623857599774720.0,16.972339118911407,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L2_H2_E48_B128_T50000000,0,L2_H2_E48,2,2,48,128,2475120,8,50000000,50003968,6.556036257743836,703.4777565183954,0.5715704895555973,742594927656960.0,20.202643912214356,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T12000000,0,L3_H2_E64,3,2,64,128,3374720,1,12000000,12009472,7.053882360458374,1157.343255595252,0.24611637368798256,243171632087040.0,3.55865731082875,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T16000000,0,L3_H2_E64,3,2,64,128,3374720,2,16000000,16007168,6.913487267494202,1005.7484477913218,0.4060327298939228,324118259957760.0,4.743258107339275,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T20000000,0,L3_H2_E64,3,2,64,128,3374720,3,20000000,20004864,6.791933226585388,890.6336953286536,0.33384696394205093,405064887828480.0,5.927858903849801,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T25000000,0,L3_H2_E64,3,2,64,128,3374720,4,25000000,25001984,6.7002708435058596,812.6258898096065,0.33572790771722794,506248172666880.0,7.408609899487957,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T30000000,0,L3_H2_E64,3,2,64,128,3374720,5,30000000,30015488,6.602812767028809,737.1657513926513,0.3881765455007553,607763205980160.0,8.894215816423289,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T36000000,0,L3_H2_E64,3,2,64,128,3374720,6,36000000,36012032,6.541898608207703,693.6022075529277,0.4540795423090458,729183147786240.0,10.671117011189077,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L3_H2_E64_B128_T42000000,0,L3_H2_E64,3,2,64,128,3374720,7,42000000,42008576,6.479152488708496,651.4186276136838,1.0319567620754242,850603089592320.0,12.448018205954865,wikitext,wikitext-103-raw-v1,gpt2
